"","logFC","PValue","FDR"
"AP2M1",-0.381949330505112,6.14639188126121e-05,0.0108293066611394
"SPAG5",-0.534456157230399,6.5766047429017e-05,0.0109086284965638
"CYCS",-0.306339517582498,6.84599520254799e-05,0.0109086284965638
"NOLC1",-0.280621440060608,7.20906556188621e-05,0.0109086284965638
"NDUFA4",-0.371050531619879,7.26080566411338e-05,0.0109086284965638
"CHCHD2",-0.315263429978824,7.3724078956788e-05,0.0109086284965638
"TPI1",-0.330809023513429,7.59641582203457e-05,0.0109086284965638
"COMMD4",-0.324192127671363,7.61338089563953e-05,0.0109086284965638
"NME1",-0.348213309952171,7.61474060290794e-05,0.0109086284965638
"LGALS1",-0.327363097440541,7.97255407342576e-05,0.0109600282885101
"COL4A6",-0.407394245484428,8.10794493569396e-05,0.0109600282885101
"SNRPD2",-0.354297823987783,8.30045262484024e-05,0.0109600282885101
"IQGAP3",-0.474280534445691,8.78564998954275e-05,0.0112225696553922
"ATP5MF",-0.392149190577873,8.91376118557023e-05,0.0112433394446372
"PSMB5",-0.295942608058967,8.96694554005218e-05,0.0112433394446372
"ACTB",-0.311638339745429,9.02920094620538e-05,0.0112523663986918
"KIF20A",-0.634365345797085,0.000101782403218426,0.011628713048213
"GANAB",-0.315203382204769,0.000107541310250372,0.011753632614423
"CD63",-0.269509719804553,0.000114944231813476,0.0121581659179005
"LAS1L",-0.289869089997754,0.000115336889795423,0.0121581659179005
"ATP5PD",-0.287109223685793,0.000117289653411183,0.0121581659179005
"G6PD",-0.35936260339209,0.000117786322132513,0.0121581659179005
"COX8A",-0.319225884289779,0.000120808918039861,0.0122232310242509
"ACTN4",-0.298012432852326,0.000124043578187773,0.0123780797488308
"KPNA2",-0.306672254599273,0.000125575663840046,0.0124588127066159
"PLK1",-0.621594799390212,0.000128284564930564,0.0125448800863678
"CD151",-0.281587498816257,0.000130624811048406,0.0125971873933971
"PSMC3",-0.288965616731319,0.000133353545241337,0.0125971873933971
"ROMO1",-0.401398546095421,0.000135031981948425,0.0126017518130681
"TUBG1",-0.341990741758034,0.000138224321636778,0.0127829352290157
"TPX2",-0.338089232090438,0.000149071384595933,0.0130929758224087
"KIFC1",-0.55851281258754,0.000150052254319183,0.0130929758224087
"NCAPD2",-0.389394783857373,0.000154213976030597,0.0131756145867682
"AP1S1",-0.368581651675482,0.000154719028320989,0.0131756145867682
"ELOVL1",-0.299058152096959,0.000160321109216554,0.0133740523680324
"PRPS1",-0.309778954393771,0.000164656910648163,0.0136245260721747
"S100A6",-0.246695227157029,0.00017591770684362,0.0142674844939282
"KIF18B",-0.510271095574636,0.000179411360311791,0.0144024790165572
"PRDX5",-0.271591087808345,0.000187761802896094,0.0147029721363616
"PROCR",-0.408825987410259,0.000192224523119343,0.014779859993131
"LMAN2",-0.280374756219739,0.00019502332355407,0.014779859993131
"GSTP1",-0.317923651994157,0.00019921344228701,0.014779859993131
"CALM3",-0.323681669091744,0.000202705608820559,0.0147807150436438
"PYCR1",-0.30833769776447,0.000204114372106673,0.0147807150436438
"AHCY",-0.256701594288453,0.000211920608429174,0.0149968270544724
"PHPT1",-0.310421054697743,0.000215129079160844,0.0149968270544724
"KIF22",-0.387093419335457,0.00021908523761553,0.0149968270544724
"MDH2",-0.280601543350478,0.000221336798883081,0.0149968270544724
