"","logFC","logCPM","F","PValue","FDR"
"ZFP36L2",0.746481728138563,5.70396764134116,48.1828232106634,2.13140924660065e-05,0.0095427829918026
"EIF6",-0.341809410682613,7.7460149829885,48.1179189055911,2.14482468764205e-05,0.0095427829918026
"G6PC3",-0.332198226467187,6.79239086494772,48.1125451168103,2.14593987703524e-05,0.0095427829918026
"ECH1",-0.329819211756628,7.24322467094442,47.9859067365019,2.17241906917042e-05,0.0095427829918026
"TET3",0.57926324058484,5.31108508915452,47.881710738209,2.19449457194795e-05,0.0095427829918026
"MPDU1",-0.336485214990324,6.49332641896168,47.1091119195198,2.36668633175335e-05,0.00958234048147903
"GET4",1.26458544578067,2.10884425550041,46.4478655633939,2.52680874935574e-05,0.00958234048147903
"DPP3",-0.392716796937873,6.21149953135454,46.2335288663327,2.58142558519224e-05,0.00958234048147903
"MRPL24",-0.377028866383462,6.54917878838969,45.9328555585929,2.66040374454166e-05,0.00958234048147903
"PGK1",-0.359276614639836,8.65269874755727,45.8456377399194,2.68384343687733e-05,0.00958234048147903
"SIPA1L2",0.935563235617124,5.70013419087166,45.7732498317126,2.70348245234882e-05,0.00958234048147903
"ENO1",-0.290739898253621,11.0390391463374,45.6027603678057,2.75040918630436e-05,0.00958234048147903
"JMJD1C",0.547748997045887,6.94155553272733,45.5578496785027,2.76292991528492e-05,0.00958234048147903
"HECA",0.782669320677878,4.36822775458034,45.5342864410667,2.76952599307879e-05,0.00958234048147903
"AXL",-0.366364386955928,7.84882947472042,45.2678314831188,2.84542046409631e-05,0.00958234048147903
"PTGS2",0.743791259825329,6.62213594676998,45.0081889257366,2.92174131634402e-05,0.00958234048147903
"RIPK2",0.474985199092552,5.66696277487759,44.5409259208489,3.06525284812043e-05,0.00958234048147903
"SLC7A5",-0.321950328465382,10.2777351862131,44.3349790279972,3.13113194179807e-05,0.00958234048147903
"ZNF703",0.619091855388588,4.26252046575484,44.1573203646639,3.18930499485486e-05,0.00958234048147903
"DNAH3",1.45697177014368,1.49891073362459,43.8879479492139,3.27995562121681e-05,0.00958234048147903
"SDSL",-0.481178702890265,4.63020168941599,43.8737997344237,3.28480013346536e-05,0.00958234048147903
"UQCRFS1P1",1.35052166958816,2.03991278051272,43.8471388857475,3.29395203598057e-05,0.00958234048147903
"CKS1B",-0.409616750733812,6.463333620853,43.8077960704785,3.30751220345509e-05,0.00958234048147903
"JMY",0.456591837437033,5.86821328432392,43.6853056512866,3.35015352323414e-05,0.00958234048147903
"ZNF219",0.684497261508239,4.30064776357523,43.6012125217933,3.37980296380411e-05,0.00958234048147903
"SQSTM1",0.396836779042321,11.7401450717332,43.5815195733006,3.38679086650786e-05,0.00958234048147903
"KDM7A",0.80479789243008,5.17412111114059,43.5765329117176,3.38856304669913e-05,0.00958234048147903
"SKIL",0.453101682983727,6.55823272263016,43.4003019677977,3.45189977215563e-05,0.00958234048147903
"WSB1",0.407206728796473,6.87994297602606,43.1148333267863,3.55747980510873e-05,0.00958234048147903
"CDCA3",-0.909842118195654,3.03719902504135,43.1030059404089,3.56193555466178e-05,0.00958234048147903
"ANTKMT",0.651887219316157,4.28121552652598,43.0852425836346,3.56863992564991e-05,0.00958234048147903
"MAN1B1-DT",2.13555265739924,-0.474365265088452,43.0564251318028,3.57954804880178e-05,0.00958234048147903
"PNRC1",0.413535312734974,5.71729613562666,43.015856270838,3.59497099586044e-05,0.00958234048147903
"BORCS6",0.559762773713806,4.58172107572821,43.0083086843156,3.59784896706081e-05,0.00958234048147903
"PIMREG",-0.79820680064782,4.35529524847694,42.9761573325016,3.610139040385e-05,0.00958234048147903
"CHIC2",0.669812159762918,3.59127808085656,42.6499866455521,3.73765662479364e-05,0.00972169503844774
"TMEM141",-0.612064442067041,4.17510880780876,42.5263673601617,3.7873672293505e-05,0.00972169503844774
"ZNF787",0.523878860180453,5.45861616307786,42.3750543893927,3.84927794230024e-05,0.00972169503844774
"PPP1R13L",0.786421988496958,3.49862795452369,42.1819381461996,3.93003257423861e-05,0.00972169503844774
"NFKB1",0.387658362783335,5.79182864850284,42.1542473821538,3.94177475178826e-05,0.00972169503844774
"CLIC1",-0.343940881982829,7.76242647201221,42.1395090583858,3.9480413357039e-05,0.00972169503844774
"BCAP31",-0.323952332837285,7.50512456662463,41.8732364680529,4.06330412375668e-05,0.00988640591444513
"RPS2",0.317546222127265,10.2572264507711,41.5670268643833,4.2007891396724e-05,0.0101006739337205
"PDLIM3",2.51721518859637,-0.271065981028889,41.3895521937097,4.28298033164091e-05,0.0101476777545886
"MORC3",0.429076882280005,5.56987956910183,41.3090805707187,4.32087117752748e-05,0.0101476777545886
