"","logFC","PValue","FDR"
"KDM5B",0.567641980143183,7.0898924279497e-05,0.0109086284965638
"SCAND1",0.536646202730483,7.1322425248791e-05,0.0109086284965638
"IER5L",0.657566954928725,7.13919690245628e-05,0.0109086284965638
"CBX4",0.55871651415962,7.20600887572842e-05,0.0109086284965638
"CAPN15",0.485218627661979,7.35710927019327e-05,0.0109086284965638
"MEG3",0.42061483865221,7.36533728497256e-05,0.0109086284965638
"CXCL8",1.03479905726737,7.48341908522434e-05,0.0109086284965638
"FOXA1",0.457578346419606,7.55004727055729e-05,0.0109086284965638
"NOL7",0.975667503101732,7.56642284888887e-05,0.0109086284965638
"N4BP3",0.833769501706843,7.6645442940183e-05,0.0109086284965638
"ANKLE2",0.351403290936746,7.68589149381145e-05,0.0109086284965638
"ZC3H4",0.340502485540685,7.750519535761e-05,0.0109244909153023
"FOXC1",0.565402779456193,7.82050365341535e-05,0.0109476338129112
"C15orf61",0.687837700106664,7.9509761704989e-05,0.0109600282885101
"SAMD8",0.341849186173097,8.03446603559137e-05,0.0109600282885101
"GATA6",0.823739781770574,8.09029652684601e-05,0.0109600282885101
"RPL13",0.406981057099062,8.16008981842185e-05,0.0109600282885101
"CROCCP2",0.386188777538069,8.22061013750885e-05,0.0109600282885101
"RASEF",0.471525497979613,8.34227175781545e-05,0.0109600282885101
"NUP153-AS1",0.897574187539158,8.40843293826971e-05,0.0109600282885101
"ZNF503",0.659549654779098,8.45339971679201e-05,0.0109600282885101
"VCPIP1",0.356184478463026,8.47286657003915e-05,0.0109600282885101
"DRC3",0.696774372002802,8.73451774006033e-05,0.0112225696553922
"NR4A3",1.46601390621079,8.92678283244619e-05,0.0112433394446372
"NOCT",0.891993328198619,9.22244504012839e-05,0.0113601460904901
"YPEL2",0.639843670208652,9.25006733873012e-05,0.0113601460904901
"PCSK1N",1.56344474345162,9.28243662350448e-05,0.0113601460904901
"GDF15",0.486195654545936,9.47894755265835e-05,0.0115315910762638
"CDK17",0.39240229621758,9.6146269475328e-05,0.0115374987581853
"SOX4",0.298853868893828,9.7434349540957e-05,0.0115374987581853
"ANKRD33B",0.843500754297565,9.74949256933128e-05,0.0115374987581853
"ADAMTS16",0.74389614929042,9.76276130368715e-05,0.0115374987581853
"KDM5A",0.302470543766401,9.76605971800597e-05,0.0115374987581853
"CDKN1B",0.387688917057061,9.99987558719312e-05,0.011628713048213
"ZSWIM4",0.722746959680322,0.000100361994299058,0.011628713048213
"TVP23B",0.286678138299147,0.000100531153290652,0.011628713048213
"PHLDA2",0.578105141174307,0.000100986622389288,0.011628713048213
"DLL1",1.80094809039609,0.00010184654250074,0.011628713048213
"ZNF184",0.551976469539171,0.000102444044901614,0.0116319521649955
"CCNL1",0.691447118519712,0.000103966187978104,0.0116566288951324
"RNF111",0.345818779453168,0.00010434057673964,0.0116566288951324
"IFIT2",1.88952956001176,0.000104372398855525,0.0116566288951324
"HNRNPDL",0.277185314093468,0.00010602469371466,0.011753632614423
"SETD2",0.38385095824383,0.000107308010331747,0.011753632614423
"UBALD1",0.537564062159929,0.000107410629584955,0.011753632614423
"HIC1",1.59806710351813,0.000108798101139532,0.0118277425057965
"ALG2",0.364405605092956,0.000110297207917345,0.0119018838540278
"CHD7",0.6295792251508,0.00011064477601846,0.0119018838540278
"POU2F2",1.42837975059096,0.000111263897241549,0.0119058195383392
"MSX1",1.01940516799855,0.000116191796407985,0.0121581659179005
"KMT2C",0.440265376525246,0.000116874324592101,0.0121581659179005
"UTY",0.420074333300092,0.000117678305376078,0.0121581659179005
"WAC",0.358879769296294,0.000119498003017349,0.0122232310242509
"BRAF",0.383354392962705,0.000119777830136505,0.0122232310242509
"GNA13",0.434495654896373,0.000120220409311824,0.0122232310242509
"IFIT3",1.67262713186399,0.00012212294473692,0.0122953140124787
"ZNF316",0.616298838691819,0.000124156294574337,0.0123780797488308
"NFKB2",0.364975243349765,0.000126827764347391,0.0125222504721351
"TUT7",0.381601384526863,0.000127529232815415,0.0125309733667377
"GJC1",0.366364078906204,0.000131323430351542,0.0125971873933971
"EPB41L4A-AS1",0.382760881298564,0.000131486734064256,0.0125971873933971
"THUMPD3-AS1",0.575657975182072,0.000131852434119396,0.0125971873933971
"PRKCH",0.473784079862352,0.000132767404178433,0.0125971873933971
"MCL1",0.417654551109914,0.000132967335806382,0.0125971873933971
"TBX2",0.861207880922406,0.000133750350541499,0.0125971873933971
"DYRK1B",0.453667303185788,0.000134609700260001,0.0126017518130681
"BBC3",0.915658987094565,0.000135848371726128,0.0126203137333573
"MMP3",2.26662444041097,0.000140548526058007,0.0129393278178989
"ZFP36",0.757356657127545,0.000142566581782587,0.0130275840292651
"ZNF461",0.437783695846543,0.00014295988496426,0.0130275840292651
"RAB5IF",0.971813604741813,0.000143419434709103,0.0130275840292651
"ZFP37",0.759220896724962,0.000144555341884621,0.013031791443198
"LRRFIP2",0.341546985130351,0.000144741004873566,0.013031791443198
"ZNF579",0.749901435753304,0.000145430545544356,0.0130364451308577
"TBK1",0.30589254130973,0.000147101903316962,0.0130929758224087
"HES4",0.934956725324274,0.000149570976032435,0.0130929758224087
"BICRA",0.744598819480675,0.000149801534561944,0.0130929758224087
"ZC3H11A",0.331857870721009,0.00015020897304536,0.0130929758224087
"VGF",0.837289344989467,0.000150956323296542,0.0130929758224087
"MAP3K21",0.609705945861489,0.000151186138276174,0.0130929758224087
"TCP11L2",0.530972319880072,0.00015297849891852,0.0131756145867682
"USP42",0.591732604672884,0.000153906296725045,0.0131756145867682
"ZNF267",0.453135849048156,0.000156023037066717,0.013187431039234
"MAFK",0.533664561536803,0.000156148268494698,0.013187431039234
"SIX1",0.481588971659859,0.000157339455578738,0.0132333489428735
"CACNG8",0.61143889841556,0.000160072471123731,0.0133740523680324
"AFF4",0.502530042461963,0.000161221767314715,0.0133945141478786
"HHEX",0.426743362108417,0.000169304442783427,0.0139525975871278
"ARID4B",0.881070708668929,0.00017155560860324,0.0140813394724218
"BRD4",0.504774462376109,0.000174078889684414,0.0142312973894802
"RMND5A",0.558119296752751,0.000175480335055932,0.0142674844939282
"RLF",0.543850860396909,0.000179781042387388,0.0144024790165572
"TPBG",0.307429915493249,0.000179845427933758,0.0144024790165572
"FGD6",0.342960855380013,0.000180400950593925,0.0144024790165572
"TIPARP",0.45404660905677,0.000184968758369253,0.0147029721363616
"SOX17",0.744713733593781,0.000185637799341727,0.0147029721363616
"SFMBT1",0.56474820951434,0.000186627085512658,0.0147029721363616
"TBC1D12",0.377468293200363,0.000187295393525934,0.0147029721363616
"EN2",1.01005263894319,0.00018861040954495,0.0147130517186247
"NFATC2",0.815386607221805,0.000189575515005536,0.0147321078923313
"VAMP1",0.644979622562162,0.000191406951984779,0.014779859993131
"ZC3H12C",0.425312262027409,0.000195092503540616,0.014779859993131
"HIPK3",0.370034730547344,0.000196199670624873,0.014779859993131
"HDAC9",0.432789707226367,0.000196301081780191,0.014779859993131
"MIDN",0.359727630368572,0.000197227280944718,0.014779859993131
"RANBP2",0.266055376764433,0.000197307684710055,0.014779859993131
"SRXN1",0.946686726998865,0.000197309251593461,0.014779859993131
"SAFB2",0.329926570464086,0.000198568650459354,0.014779859993131
